fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matrícula_en_su_caso,confianza,mx1,my1,mx2,my2,texto_matricula
12,Bus,0.9613243937492371,1,1384.917724609375,480.4991149902344,1919.70703125,480.4991149902344,,,,,,,,
12,Car,0.9109189510345459,2,1309.7685546875,368.66876220703125,1384.037109375,368.66876220703125,,,,,,,,
12,Car,0.37291809916496277,3,1229.364501953125,345.196533203125,1271.7528076171875,345.196533203125,,,,,,,,
12,Person,0.21750973165035248,4,1229.364501953125,345.196533203125,1271.7528076171875,345.196533203125,,,,,,,,
13,Bus,0.9585433602333069,1,1383.12109375,476.3458251953125,1916.3409423828125,476.3458251953125,,,,,,,,
13,Car,0.8749950528144836,2,1309.8441162109375,368.477294921875,1381.5081787109375,368.477294921875,,,,,,,,
13,Car,0.36286383867263794,3,1230.2025146484375,345.7954406738281,1270.0787353515625,345.7954406738281,,,,,,,,
13,Person,0.18173915147781372,4,1230.2025146484375,345.7954406738281,1270.0787353515625,345.7954406738281,,,,,,,,
14,Bus,0.9521462321281433,1,1381.6868896484375,472.0355529785156,1903.5916748046875,472.0355529785156,,,,,,,,
14,Car,0.8896721005439758,2,1309.6556396484375,368.02728271484375,1379.832763671875,368.02728271484375,,,,,,,,
14,Car,0.3604223132133484,3,1230.443359375,346.24468994140625,1268.1514892578125,346.24468994140625,,,,,,,,
14,Person,0.3024789094924927,4,1230.443359375,346.24468994140625,1268.1514892578125,346.24468994140625,,,,,,,,
15,Bus,0.9458775520324707,1,1381.283935546875,468.3129577636719,1902.7515869140625,468.3129577636719,,,,,,,,
15,Car,0.8175460696220398,2,1309.62060546875,367.5274963378906,1378.2747802734375,367.5274963378906,,,,,,,,
15,Car,0.39235919713974,3,1231.2347412109375,346.97454833984375,1267.3800048828125,346.97454833984375,,,,,,,,
15,Person,0.26977938413619995,4,1231.2347412109375,346.97454833984375,1267.3800048828125,346.97454833984375,,,,,,,,
16,Bus,0.9686596393585205,1,1379.3682861328125,465.5519714355469,1874.619384765625,465.5519714355469,,,,,,,,
16,Car,0.8473594784736633,2,1309.6915283203125,366.8588562011719,1377.25244140625,366.8588562011719,,,,,,,,
16,Car,0.3885773718357086,3,1231.667724609375,346.75347900390625,1267.16455078125,346.75347900390625,,,,,,,,
16,Person,0.34723496437072754,4,1231.667724609375,346.75347900390625,1267.16455078125,346.75347900390625,,,,,,,,
17,Bus,0.9745742678642273,1,1377.715087890625,464.33477783203125,1861.3724365234375,464.33477783203125,,,,,,,,
17,Car,0.8442260026931763,2,1309.3785400390625,367.33624267578125,1376.396484375,367.33624267578125,,,,,,,,
17,Car,0.37937912344932556,3,1230.8092041015625,346.625,1267.609130859375,346.625,,,,,,,,
17,Person,0.22330966591835022,4,1230.8092041015625,346.625,1267.609130859375,346.625,,,,,,,,
18,Bus,0.9720859527587891,1,1378.2713623046875,461.7841491699219,1850.6929931640625,461.7841491699219,,,,,,,,
18,Car,0.8865367770195007,2,1309.04638671875,366.6707458496094,1375.029296875,366.6707458496094,,,,,,,,
18,Car,0.27312248945236206,3,1230.3936767578125,347.1283874511719,1266.7757568359375,347.1283874511719,,,,,,,,
18,Person,0.17679111659526825,4,1230.3936767578125,347.1283874511719,1266.7757568359375,347.1283874511719,,,,,,,,
19,Bus,0.960294246673584,1,1377.668701171875,457.7347106933594,1851.2454833984375,457.7347106933594,,,,,,,,
19,Car,0.8926246762275696,2,1308.5360107421875,366.1275329589844,1373.5789794921875,366.1275329589844,,,,,,,,
19,Car,0.2863915264606476,3,1230.2611083984375,347.1963806152344,1266.0809326171875,347.1963806152344,,,,,,,,
19,Person,0.22361712157726288,4,1230.2611083984375,347.1963806152344,1266.0809326171875,347.1963806152344,,,,,,,,
20,Bus,0.9456347823143005,1,1375.8927001953125,456.1280517578125,1858.151611328125,456.1280517578125,,,,,,,,
20,Car,0.8791667222976685,2,1308.54248046875,366.02789306640625,1370.88671875,366.02789306640625,,,,,,,,
20,Car,0.3096233606338501,3,1230.2081298828125,346.7664489746094,1265.6851806640625,346.7664489746094,,,,,,,,
20,Person,0.24929383397102356,4,1230.2081298828125,346.7664489746094,1265.6851806640625,346.7664489746094,,,,,,,,
21,Bus,0.9281275272369385,1,1373.4920654296875,455.0108642578125,1864.1873779296875,455.0108642578125,,,,,,,,
21,Car,0.8292968273162842,2,1308.89697265625,366.2149353027344,1369.5821533203125,366.2149353027344,,,,,,,,
21,Car,0.2805319130420685,3,1230.255126953125,346.4172058105469,1265.18310546875,346.4172058105469,,,,,,,,
22,Bus,0.9011144042015076,1,1371.189208984375,452.52935791015625,1873.8681640625,452.52935791015625,,,,,,,,
22,Car,0.8618960976600647,2,1308.3765869140625,365.9960021972656,1368.5792236328125,365.9960021972656,,,,,,,,
22,Car,0.37585368752479553,3,1229.4027099609375,345.8548583984375,1264.653076171875,345.8548583984375,,,,,,,,
23,Bus,0.9228008985519409,1,1369.6029052734375,453.0117492675781,1873.8565673828125,453.0117492675781,,,,,,,,
